Song_Title,Streams,Daily,Album,Type
Bloody Mary - The Horrors Remix,870608,389,Born This Way The Remix,Non-Soundtrack Song
Born This Way,497332674,314655,Born This Way,Non-Soundtrack Song
Born This Way - Bimbo Jones Club Remix,788394,208,Born This Way (The Remixes Pt.2),Non-Soundtrack Song
Born This Way - Chew Fu Born To Fix Remix,292527,37,Born This Way (The Remixes Pt.1),Non-Soundtrack Song
Born This Way - Dada Life Remix,512506,44,Born This Way (The Remixes Pt.2),Non-Soundtrack Song
Born This Way - DJ White Shadow Remix,327428,109,Born This Way (The Remixes Pt.1),Non-Soundtrack Song
Born This Way - Grum Remix,284462,50,Born This Way (The Remixes Pt.2),Non-Soundtrack Song
Born This Way - Jost & Naaf Remix,3056823,901,Born This Way,Non-Soundtrack Song
Born This Way - LA Riots Remix,298767,31,Born This Way (The Remixes Pt.1),Non-Soundtrack Song
Born This Way - Michael Woods Remix,431118,31,Born This Way (The Remixes Pt.2),Non-Soundtrack Song
Born This Way - The Country Road Version,7608065,2927,Born This Way (Special Edition),Non-Soundtrack Song
Born This Way - Twin Shadow Remix,610865,70,Born This Way (The Remixes Pt.2),Non-Soundtrack Song
Born This Way - Zedd Remix,2727780,402,Born This Way (The Remixes Pt.2),Non-Soundtrack Song
Boys Boys Boys,39374304,13676,The Fame,Non-Soundtrack Song
Boys Boys Boys - Manhattan Clique Remix,1102704,126,Single,Non-Soundtrack Song
Brown ESoundtrack Song,19842693,6321,The Fame,Non-Soundtrack Song
Christmas Tree,10543467,398,Single,Non-Soundtrack Song
Chromatica I,32045846,6617,Chromatica,Non-Soundtrack Song
Chromatica II,43230967,7418,Chromatica,Non-Soundtrack Song
Come To Mama,31855632,4143,Joanne,Non-Soundtrack Song
Dance In The Dark,44279772,16591,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Dance In The Dark - Monarchy 'Stylites' Remix,1165033,244,The Remix,Non-Soundtrack Song
Dancin' In Circles,56980715,11059,Joanne,Non-Soundtrack Song
Diamond Heart,55623457,11044,Joanne,Non-Soundtrack Song
Diggin' My Grave,79127330,11874,A Star Is Born Soundtrack,Soundtrack Song
Disco Heaven,12602383,5948,The Fame,Non-Soundtrack Song
Do I Love You,2410373,1176,Love For Sale,Non-Soundtrack Song
Do What U Want,30118052,37663,Single,Non-Soundtrack Song
Donatella,45151281,18085,Artpop,Non-Soundtrack Song
Dope,19454152,5324,Artpop,Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say)",55887930,19546,The Fame,Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - Bollywood Remix",116510,6,"Eh, Eh (Non-Soundtrack Songthing Else I Can Say) Remix EP",Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - Electric PiaNon-Soundtrack Song and Human Beat Box Version",904035,245,The Cherrytree Sessions,Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - FrankMusik ""Cut Snare Edit"" Remix",1148182,88,The Remix,Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - Mattafix Mix",162724,29,"Eh, Eh (Non-Soundtrack Songthing Else I Can Say) Remix EP",Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - Pet Shop Boys Extended Mix",188580,17,"Eh, Eh (Non-Soundtrack Songthing Else I Can Say) Remix EP",Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - Pet Shop Boys Radio Mix",1359079,211,"Eh, Eh (Non-Soundtrack Songthing Else I Can Say) Remix EP",Non-Soundtrack Song
"Eh, Eh (Nothing Else I Can Say) - Random Soul Remix",285110,19,"Eh, Eh (Non-Soundtrack Songthing Else I Can Say) Remix EP",Non-Soundtrack Song
Electric Chapel,16214315,7169,Born This Way,Non-Soundtrack Song
Electric Chapel - Two Door Cinema Club Remix,729522,142,Born This Way The Remix,Non-Soundtrack Song
Enigma,48008338,12888,Chromatica,Non-Soundtrack Song
Enigma - Doss Remix,2563965,873,Dawn Of Chromatica,Non-Soundtrack Song
Ev'ry Time We Say Goodbye,5250021,1247,Cheek To Cheek,Non-Soundtrack Song
Fashion Of His Love,10297597,4583,Born This Way,Non-Soundtrack Song
Fashion Of His Love - Fernando Garibay Remix,2781773,874,Born This Way (Special Edition),Non-Soundtrack Song
Fashion!,25931652,11254,Artpop,Non-Soundtrack Song
Free Woman,73190574,28199,Chromatica,Non-Soundtrack Song
Free Woman - Honey Dijon Realness Remix,280683,68,Free Woman (Honey Dijon Realness Remix),Non-Soundtrack Song
Free Woman - Honey Dijon Realness Remix Edit,2887971,478,Free Woman (Honey Dijon Realness Remix),Non-Soundtrack Song
Free Woman - Rina Sawayama & Clarence Clarity Remix,6897868,3932,Dawn Of Chromatica,Non-Soundtrack Song
Fun Tonight,46971196,12121,Chromatica,Non-Soundtrack Song
Fun Tonight - Pabllo Vittar Remix,20956171,10490,Dawn Of Chromatica,Non-Soundtrack Song
G.U.Y.,109165629,53964,Artpop,Non-Soundtrack Song
G.U.Y. - KDrew Remix,1152183,313,G.U.Y. (Remixes),Non-Soundtrack Song
G.U.Y. - Lovelife Remix,335759,37,G.U.Y. (Remixes),Non-Soundtrack Song
G.U.Y. - Rami Samir Afuni Remix,228796,34,G.U.Y. (Remixes),Non-Soundtrack Song
G.U.Y. - St. Lucia Remix,922721,93,G.U.Y. (Remixes),Non-Soundtrack Song
G.U.Y. - Wayne G Throwback Anthem,234988,44,G.U.Y. (Remixes),Non-Soundtrack Song
Government Hooker,66950389,100562,Born This Way,Non-Soundtrack Song
Grigio Girls,32878227,5832,Joanne,Non-Soundtrack Song
Gypsy,30691837,8164,Artpop,Non-Soundtrack Song
Hair,40821266,16273,Born This Way,Non-Soundtrack Song
Hair Body Face,45765430,5957,A Star Is Born Soundtrack,Soundtrack Song
Heal Me,82126828,14611,A Star Is Born Soundtrack,Soundtrack Song
Heavy Metal Lover,25857807,14901,Born This Way,Non-Soundtrack Song
Hey Girl,40951587,6986,Joanne,Non-Soundtrack Song
